incident_number,area_occ,rpt_dist,dispatch_date,dispatch_time,call_type_code,call_type_text
190525004168,Outside,,2019-05-25T00:00:00.000,17:22:01,006,CODE 6
911100000051,Outside,,2019-11-10T00:00:00.000,02:17:50,006,CODE 6
190824004209,Olympic,2071,2019-08-24T00:00:00.000,16:45:06,9049,REFUSING ID
190913005469,Southwest,0314,2019-09-13T00:00:00.000,19:50:20,507P,PARTY
190104001893,UNK,,2019-01-04T00:00:00.000,10:52:40,006,CODE 6
190305000966,Mission,1959,2019-03-05T00:00:00.000,07:38:24,904AO,AMB OVERTURNED VEH
190809006290,Newton,1362,2019-08-09T00:00:00.000,20:58:39,245SN,SUSP NOW
190827004389,Outside,,2019-08-27T00:00:00.000,16:06:49,006,CODE 6
190305005718,Rampart,,2019-03-05T00:00:00.000,22:41:03,006,CODE 6
190810001373,77th Street,1245,2019-08-10T00:00:00.000,07:58:41,620D,DOM VIOL
001190000312,Outside,,2020-01-19T00:00:00.000,15:10:58,006,CODE 6
190130003473,Hollywood,0677,2019-01-30T00:00:00.000,13:58:38,904Q,BUS
190528002209,West LA,0886,2019-05-28T00:00:00.000,11:22:48,4591I,BFV INVEST
190803002752,Outside,,2019-08-03T00:00:00.000,13:19:22,006,CODE 6
190503001409,UNK,,2019-05-03T00:00:00.000,08:29:54,902,TRAFFIC STOP
190322004312,77th Street,1203,2019-03-22T00:00:00.000,17:35:53,600I,INVEST
190827005706,Outside,,2019-08-27T00:00:00.000,19:32:13,006,CODE 6
190224004365,77th Street,1267,2019-02-24T00:00:00.000,20:00:49,620M,MAN/WMN
191012002597,Newton,1317,2019-10-12T00:00:00.000,16:32:06,5101,CAR
190330005808,Pacific,1488,2019-03-30T00:00:00.000,23:38:59,242A,AMB
190615005436,Topanga,2115,2019-06-15T00:00:00.000,20:05:36,314M,MAN
190309006088,Wilshire,0745,2019-03-09T00:00:00.000,23:59:47,9286,GUN
190810003886,Outside,,2019-08-10T00:00:00.000,16:28:00,006,CODE 6
190124001945,West Valley,1083,2019-01-24T00:00:00.000,10:02:19,415M,MAN
001120000458,Outside,,2020-01-12T00:00:00.000,22:13:54,006,CODE 6
191026004783,Northeast,1138,2019-10-26T00:00:00.000,21:48:53,415M,MAN
912100000060,Outside,,2019-12-10T00:00:00.000,05:37:10,006,CODE 6
190917000376,Newton,1317,2019-09-17T00:00:00.000,02:46:14,906B1,CODE 30 RINGER
191013000642,Van Nuys,0964,2019-10-13T00:00:00.000,02:42:12,507P,PARTY
190124006389,UNK,,2019-01-24T00:00:00.000,21:07:59,006,CODE 6
190219002360,Mission,,2019-02-19T00:00:00.000,11:52:36,006,CODE 6
001180000139,Pacific,1463,2020-01-18T00:00:00.000,09:21:25,594SN,SUSP NOW
190528000549,Mission,1918,2019-05-28T00:00:00.000,04:19:09,006,CODE 6
190413004815,Southwest,0305,2019-04-13T00:00:00.000,21:35:01,906B1,CODE 30 RINGER
190605002867,Outside,,2019-06-05T00:00:00.000,13:07:42,006,CODE 6
190919005477,Outside,,2019-09-19T00:00:00.000,19:22:39,006,CODE 6
190506004674,Pacific,1403,2019-05-06T00:00:00.000,18:33:24,9045,H & R MISD
001060000573,Outside,,2020-01-06T00:00:00.000,23:14:36,006,CODE 6
190513003695,Harbor,0583,2019-05-13T00:00:00.000,15:14:16,5101,CAR
190226003340,UNK,,2019-02-26T00:00:00.000,14:01:39,006,CODE 6
191020005672,Harbor,0528,2019-10-20T00:00:00.000,23:37:27,507R,RADIO
191020002936,Outside,,2019-10-20T00:00:00.000,13:42:49,006,CODE 6
190901005508,Outside,,2019-09-01T00:00:00.000,21:31:46,006,CODE 6
190502004099,West Valley,1075,2019-05-02T00:00:00.000,15:53:16,415M,MAN
190813001782,Northeast,1147,2019-08-13T00:00:00.000,09:33:32,5033I,GTA INVEST
190622000012,West Valley,1033,2019-06-22T00:00:00.000,00:03:07,503P3S,POSS GTA SUSP
190813000460,West Valley,1023,2019-08-13T00:00:00.000,02:55:00,906R,ROBBERY (211 SILENT)
912180000526,Outside,,2019-12-18T00:00:00.000,20:39:24,902,TRAFFIC STOP
001120000435,West LA,0899,2020-01-12T00:00:00.000,21:49:32,484S,SUSP
190517005510,Pacific,1465,2019-05-17T00:00:00.000,20:34:33,620DR,DOM VIOL R/O
190515001244,Devonshire,1797,2019-05-15T00:00:00.000,08:06:31,507R,RADIO
190810002412,Outside,,2019-08-10T00:00:00.000,11:55:48,902,TRAFFIC STOP
190215000495,Mission,1963,2019-02-15T00:00:00.000,03:08:57,620M,MAN/WMN
911280000240,West Valley,1099,2019-11-28T00:00:00.000,18:10:10,906B1,CODE 30 RINGER
912150000239,Outside,,2019-12-15T00:00:00.000,12:36:13,006,CODE 6
